User 17833428-19d5-4539-b910-238cd36d8b14 logged in with email: c,05-06-2025 03:43:45
User 17833428-19d5-4539-b910-238cd36d8b14 logged out with email: c,05-06-2025 03:44:03
User ab99e99f-4b6c-4b74-9105-62a77e1431a1 logged in with email: a,05-06-2025 03:44:09
